review,Hotel#General,Hotel#Price,Hotel#Designs_Features,Hotel#Cleanliness,Hotel#Comfort,Hotel#Quality,Hotel#Miscellaneous,Rooms#General,Rooms#Price,Rooms#Designs_Features,Rooms#Cleanliness,Rooms#Comfort,Rooms#Quality,Rooms#Miscellaneous,Room_amenities#General,Room_amenities#Price,Room_amenities#Designs_Features,Room_amenities#Cleanliness,Room_amenities#Comfort,Room_amenities#Quality,Room_amenities#Miscellaneous,Facilities#General,Facilities#Price,Facilities#Designs_Features,Facilities#Cleanliness,Facilities#Comfort,Facilities#Quality,Facilities#Miscellaneous,Service#General,Location#General,Food_Drinks#Price,Food_Drinks#Quality,Food_Drinks#Style_Options,Food_Drinks#Miscellaneous
"Khách sạn mới, đẹp, phòng ốc sạch sẽ tươm tất, nhân viên nhiệt tình, vui vẻ. Có khu vui chơi trẻ em. Vị trí thuận tiện. Tuy nhiên buffet sáng chưa được ngon lắm",,,Positive,,,,,,,,Positive,,,,,,,,,,,,,Positive,,,,,Positive,Positive,,,Negative,
Mọi thứ đều ok ngoài trừ việc lễ tân không biết cười !,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,Negative,,,,,
"Dịch vụ khá tốt. Các bạn Nhânviên nhiệt tình, tư vấn khách rất tốt. Khách sạn sạch sẽ. Dịch vụ không có gì để chê. Điểm trừ là món ăn. Bữa ăn khá phong phú, nhưng hương vị, chế biến mình đánh giá 7/10",Positive,,,Positive,,,,,,,,,,,,,,,,,,,,,,,,,Positive,,,Neutral,Positive,
"Khách sạn phòng rất rộng, sạch sẽ, nhân viên phục vụ rất tốt, chu đáo.",,,,,,,,,,Positive,Positive,,,,,,,,,,,,,,,,,,Positive,,,,,
"Đồ ăn ngon, vị trí ko đẹp lắm, phòng số chẵn có view đẹp hơn, 5 sao nhưng nhiều trang thiết bị ko có",,,,,,,,,,,,,,,Negative,,,,,,,,,,,,,,,Negative,,Positive,,
"Phòng rộng rãi, thoải mái, sạch sẽ, gần trung tâm, view biển khá đẹp",,,,,,,,Positive,,Positive,Positive,Positive,,,,,,,,,,,,,,,,,,Positive,,,,
"khách sạn đẹp, mới, sạch sẽ. Nhân viên nhiệt tình, chu đáo",,,Positive,Positive,,,,,,,,,,,,,,,,,,,,,,,,,Positive,,,,,
"Buffet sáng ngon, dịch vụ nhanh chóng nhưng điểm trừ là hồ bơi hơi dơ",Positive,,,,,,,,,,,,,,,,,,,,,,,,Negative,,,,,,,Positive,,
"Khách sạn 3 sao mà chuẩn 5 sao, sạch sẽ, sang trọng, gần gũi... Nếu có quay lại Đà Lạt sẽ lại đặt phòng ở đây",Positive,,Positive,Positive,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"khách sạn đẹp, nhân viên thân thiện dễ thương",,,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,Positive,,,,,
"Mình đặt phòng có phòng khách, tivi xoay từ pngu sag pkhach rất ngộ. Khách sạn đẹp, có bãi đỗ xe hơi ở 2 mặt tiền, bv coi xe ok. Đồ ăn sáng đa dạng nhìu món, thay đổi mỗi ngày, có món ngon món thì bt. Quan trọng nhất là mấy bạn nếu không chịu được tiếng ồn và ngủ sớm như mình thì đừng ở phòng ngoài mặt tiền bùi thị xuân, tối ồn ào lắm luôn, ở các phòng với nhau thì không có j, nhưng ở ngoài đường siêu ồn. Thuê phòng mặt sau cũng có ban công nhưng hướng ra khu biệt thự yên tĩnh hơn.",,,Positive,,,,,,,,,Negative,,,,,,,,,,,,Positive,,,,,Positive,,,Positive,Positive,
"Giá bình dân mà phòng chất lượng. Phòng thực tế đẹp như hình. Wifi, trà, cafe, truyền hình cáp, ô đi mưa, dọn phòng mỗi ngày đều free. Nhân viên dễ thương",,,,,,,,,Positive,Positive,,,,,,,,,,,,,,Positive,,,,,Positive,,,,,
"Mình rất hài lòng chuyến đi này, nhân viên thân thiệt, dịch vụ tuyệt vời.",Positive,,,,Positive,,,,,,,,,,,,,,,,,,,,,,,,Positive,,,,,
"Rất tuyệt vời. Phòng ốc rất đẹp, tone màu sang trọng nhẹ nhàng. Nhân viên cực kỳ nhiệt tình, lễ phép. Đồ ăn ngon. Tối còn có nhạc chill chill, nhiều góc checkin rất đẹp. Gần sân bay. View hoàng hôn siu đỉnh. Chắc chắn sẽ quay lại.",Positive,,,,,,,,,Positive,,,,,,,,,,,,,,Positive,,,,,Positive,Positive,,Positive,,
"Khách sạn phòng đẹp, nhân viên phục vụ tốt",,,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,Positive,,,,,
"Cám ơn đã giúp gia đình tôi ngày nghỉ tuyệt vời tại Huong Giang Hotel Resort and Spa. Khách sạn rất sạch sẽ, thoải mái dễ chịu. Nhân viên khách sạn rất nhiệt tình, chu đáo",,,,Positive,Positive,,,,,,,,,,,,,,,,,,,,,,,,Positive,,,,,
Tính thêm tiền và không có thông báo khi khách hết thời gian lưu trú,,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8h mình ghé gửi hành lý, nhân viên rất dễ thương. Phòng sạch sẽ, bãi đỗ xe rộng. Ăn sáng tạm được.",,,,,,,,,,,Positive,,,,,,,,,,,,,Positive,,,,,Positive,,,Neutral,,
"Đi 6 lần là ở 5 lần trên khách sạn này, thoải mái,",Positive,,,,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Phòng đẹp, view 1 nửa sông hơi tiếc. Muốn góp ý có thêm bàn ủi cho khách.",,,,,,,,Neutral,,Positive,,,,,,,Negative,,,,,,,,,,,,,,,,,
"Khách sạn rất ấm cúng. Sạch sẽ, phòng ốc đẹp và view cực ổn. Giá hơi cao nếu không áp dụng giảm giá",,Negative,,,,,,Positive,,Positive,Positive,,,,,,,,,,,,,,,,,,,,,,,
"Nhân viên rất thân thiện, khung cảnh đẹp, thức ăn ngon",Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,Positive,,,Positive,,
Nhận viên nhiệt tình sạch sẽ 👍🏻,,,,Positive,,,,,,,,,,,,,,,,,,,,,,,,,Positive,,,,,
"Không gian tốt, thức ăn ngon, nhân viên còn thiếu chuyên nghiệp, nhưng được cái nhiệt tình nên cũng ổn.",,,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,,,Positive,,
"phòng ok. nhưng massage quá tệ so với số tiền 450k/suất. Nhân viên hoàn toàn không có ki thuat ve massage, phòng nhìn từ trong ra ngoài không hề riêng tư. đừng sử dụng massage tại khách sạn.

bữa sáng tuy nhiều món nhưng vị thì không ngon.",,,,,,,,Positive,,,,,,,,,,,,,,,Negative,,,,Negative,,,,,Negative,Positive,
"Sao khi check-in, tôi nằm lên giường nghỉ, thì nơi nào cũng có những cây kẻm nhô lên cấn vào mình,nơi thì sụp xệ, chưa từng kinh nghiệm một nơi kinh doanh như vậy, khi tôi không chờ đợi được nữa thì nói với tiếp viên, cô này có thái độ không tin tưởng khách hàng, cô ấy nói là bao nhiêu người ở không ai nói gì, trong khi đó bổn phận là phục vụ, mình nên kiểm tra xem xét lại. Họ đổi phòng khác cho tôi hiện tại tôi không thoải mái chút nào, vì phòng này ở toilét rất nóng, lý do là những máy quạt của máy lạnh thổi hơi nóng vào toilét tới chỗ tôi nằm nóng lắm, còn máy lạnh thì thổi ra hướng cửa sổ nên nằm ngủ rất nóng.",,,,,,,,,,,,Negative,Negative,,,,Negative,,Negative,Negative,,,,,,,,,Negative,,,,,
Chúng tôi đã có 1 trải nghiệm cực kì vui vẻ và tuyệt vời ở đây nhân viên khách sạn rất nhiệt tình sắp từ lúc mình đến và đến lúc về luôn ạ . Đặc biệt là long giúp đỡ bọn mk đặt vé book xe cách thứ luôn ... buffe sáng có 10 sao là mk đánh giá luôn đó vì rất là ngon nhiều món ăn rất hợp miệng cảm ơn khách sạn rất là nhiều lần sau sẽ còn quay lại,Positive,,,,Positive,,,,,,,,,,,,,,,,,,,,,,,,Positive,,,Positive,Positive,
"Phòng rộng rãi thoáng mát, khuôn viên đẹp, nghỉ dưỡng rất phù hợp",,,Positive,,,,,,,Positive,,Positive,,,,,,,,,,,,,,,,,,,,,,
"Mọi thứ hơi cổ kính và rộng rãi, nếu bạn thích không gian yên tĩnh nhâm nhi ly trà thì có thể đến ở đây! Tuy nhiên hồ bơi hơi xa và khá sâu",,,Positive,,Positive,,,,,,,,,,,,,,,,,,,Neutral,,,,,,,,,,
"Tuyệt vời để nghỉ dưỡng bên gia đình và người thân. Phòng ở rộng rãi, nhân viên thân thiện. Từ tầng 10 có hồ bơi riêng mỗi tầng. nhiều góc sống ảo trên tầng 19. Buffet sáng đa dạng, nhiều món ăn. Spa rất tốt, còn được xông hơi hồng ngoại miễn phí. Do ở dịp Tết nguyên đán được lì xì nhiều voucher dùng nước uống tại nhà hàng, bar và quầy nước. Ngay kế bên chợ xóm lưới mua hải sản chế biến về ăn cũng tiện.",Positive,,,,,,,,,Positive,,,,,,,,,,,,,Positive,Positive,,,Positive,,Positive,Positive,,,Positive,
Tôi đã có một kỳ nghỉ tuyệt vời ở resort. Sẽ tiếp tục quay lại và ủng hộ Traveloka 👍,Positive,,,,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mình ở phòng River View Deluxe, mình thấy rất hài lòng, cửa sổ rộng, view siêu đẹp từ trên tầng 21 xuống thành phố và sông. Bữa sáng cũng phong phú, thích đồ ngọt hơn đồ mặn, mình ngồi brunch (vì lúc đó là sáng chủ nhật) dù buffet sáng đã hết từ 10h nhưng các bạn vẫn rất nice không như nhiều chỗ khác sẽ có hành động đuổi khách khiếm nhã. Điểm cộng siêu lớn là nhân viên siêu nice và quan tâm chăm sóc khách tụi mình. Từ nhân viên sảnh, spa cho tới các bạn lễ tân nữa. Rất cảm ơn khách sạn đã giúp mình có một kì nghỉ rất vui và trọn vẹn. Chỉ mỗi cái là các bạn ở Vinpearl làm việc rất là chăm chỉ nhưng không đi chơi mấy :))) các bạn lễ tân cũng không biết quá nhiều địa điểm chơi để chỉ cho tụi mình. Nhưng không sao các bạn rất  thân thiện, mình cũng ok hehe. Thực sự là trọn vẹn 10 điểm. Trong các resort mình đi thực sự đánh giá 10 điểm cho dịch vụ và các bạn nhân viên ở đây.",Positive,,,,Positive,,,Positive,,Positive,,,,,,,,,,,,,,,,,,,Positive,,,Positive,Positive,
"Không nên đặt phòng ở đây, lễ tân báo mất đồ vòi tiền khách hàng 😤😡 đang cảm thấy tiếc tiền",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Negative,,,,,
"Phòng mới , nhân viên dễ thương , chỉ 1 điểm không hài lòng , mình ở 2 ngày nhưng dọn phòng không thay ra giường !",,,,,,,,,,Positive,,,,,,,,Negative,,,,,,,,,,,Positive,,,,,
Khách sạn xa trung tâm phù hợp để nghĩ dưỡng cùng gia đình hoăc honeymoon,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Negative,,,,
Phòng xấu. Không tương xứng số tiền bỏ ra. Thấp không có tầm nhìn đẹp.,,,,,,,,Negative,Negative,Negative,,,,,,,,,,,,,,,,,,,,,,,,
Phòng cách âm kém. Khách ở quầy bar hay hồ bơi giỡn nói chuyện lớn sẽ nghe được hết và ảnh hưởng đến giấc ngủ,,,,,,,,,,Negative,,Negative,,,,,,,,,,,,,,,,,,,,,,
Trải nghiệm khách sạn tốt. Anh bảo vệ tên Đoan rất nhiệt tình. Đồ ăn sáng ngon.,Positive,,,,,,,,,,,,,,,,,,,,Neutral,,,,,,,,Positive,,,Positive,,
"Sạch sẽ, phục vụ chu đáo lịch sự. Nhân viên nhã nhặn.",,,,Positive,,,,,,,,,,,,,,,,,,,,,,,,,Positive,,,,,
Dịch vụ tốt và trãi nghiệm tốt,Positive,,,,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khách sạn tuyệt vời lễ tân rất nhiệt tình view buổi tối buổi sáng nhìn ra đều chill,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,Positive,,,,,
"Người dọn phòng của họ rất bất lịch sự, hét và nạt nộ vào mặt khách khi dọn phòng. Dù cho khách có say sỉn, ói ra sàn thì vẫn có thể dọn dẹp được, trong khi đó những cô dọn phòng đã hét vào mặt tôi khi đó, họ còn nói “tao chưa bao giờ dọn cho chồng tao nữa mà nay phải đi dọn cho thiên hạ”, nếu cô đã xác định vậy thì đừng nên đi làm công việc dọn dẹp phòng tại khách sạn. Và thêm vào đó nữa là họ vẫn tính thêm phí dọn dẹp, nhưng lại có thái độ như vậy. Thật thất vọng cho 1 khách sạn 3 sao.",,,,,Negative,,,,,,,,,,,,,,,,,,,,,,,,Negative,,,,,
"Phòng đep, sạch. Nhân viên vui vẻ",,,,,,,,,,Positive,Positive,,,,,,,,,,,,,,,,,,Positive,,,,,
Chăn gối quá hôi và bẩn. Thiết bị quá cũ,,,,,,,,,,,,,,,,,Negative,Negative,,,,,,,,,,,,,,,,
"Thức ăn sáng đa dạng, không gian thoáng & sạch sẽ, có điều biển ko sạch và nhiều rác. Khu này thích hợp nghỉ dưỡng vì do resort xa trung tâm ko có nhiều quán xá nhưng bù lại thì có Nhà Hàng Hướng Dương ăn ngon và rẻ và có dịch vụ đưa đón, chủ quán rất nhiệt tình và vui vẻ. Có dịch vụ ăn tối tại khách sạn, những món ăn vặt nhưng thức ăn ko tươi ngon và giá hơi cao. Khách sạn xây dựng căn hộ toàn bộ view đẹp vô cùng. Mình thích ngắm cảnh từ phòng ra ngoài biển. Các món snack và nước uống đặt trong phòng giá ko cao, chấp nhận được. Mình sẽ quay lại FLC trong thời gian sắp tới. ",Positive,,,Positive,Positive,,Negative,Positive,,,,,,,,Negative,,,,,,,,,,,,,,Neutral,Negative,Negative,Positive,
Khách sạn đẹp - nhân viên chu đáo nhiệt tình - đồ ăn khá ngon ! Sẽ ủng hộ tiếp lần tới - 5⭐️,Positive,,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,Positive,,,Positive,,
Mọi thứ đều tuyệt vời. Nhân viên thân thiện,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,Positive,,,,,
"Lần thứ 2 ghé The Cliff, resort sạch sẽ, nhân viên thân thiện. Nhưng buổi tối đường đi hơi tối và Buffer sáng chưa được đa dạng lắm. Đánh giá 8,5/10 hihi.",Positive,,,Positive,,,Negative,,,,,,,,,,,,,,,,,,,,,,Positive,,,,Negative,
"Phòng rộng, sạch sẽ, thông thoáng, ngay khu phố cổ thuận tiện đi lại. Nhưng wifi yếu, mình tự đăng ký 3g để dùng.",,,,,,,,,,Positive,Positive,Positive,,,,,,,,,,,,,,,,,,,,,,
"Khách sạn yên tĩnh nhưng có điều cách âm không được tốt hay sao ấy. Tối mình có cười lớn tiếng chút do trước giờ giọng mình to sẵn rồi nên bị bạn lễ tân alo điện thoại lên phòng nhắc nhở nên ngày hôm sau nói chuyện cũng không dám nói lớn, chỉ biết ""thì thầm mùa xuân"" với bạn mình thôi Nhân viên thì không nice lắm, có bạn bellman dẫn mình lên phòng là còn cười nói dễ thương chứ mấy bạn lễ tân chả ai cười chào gì cả. Lúc đi ăn sáng, bạn ở quầy check cầm thẻ lên xem xong đưa lại cũng không có 1 lời nói chúc ngon miệng hay cười 1 cái, kiểu rất xa lạ, không có chút thân thiện gì cả. Tạm ổn thôi chứ xuất sắc thì chưa tới đâu",Neutral,,Negative,,Positive,,,,,,,,,,,,,,,,,,,,,,,,Neutral,,,,,
"phục vụ nhiệt tình ,phòng ốc đẹp sạch sẽ",,,,,,,,,,Positive,Positive,,,,,,,,,,,,,,,,,,Positive,,,,,
"Khách sạn nằm ngay vị trí sát biển, thuận lợi cho việc di chuyển, tắm biển, dịch vụ tốt, nhân viên nhiệt tình hỗ trợ và tư vấn khách hàng, trình độ tiếng Anh của các bạn rất tốt. Giữ đồ miễn phí cho khách tuy rằng mình đã trả phòng. Mọi thứ đều hoàn hảo cho chuyến du lịch của mình và gia đình.",Positive,,,,,,,,,,,,,,,,,,,,,,Positive,,,,,,Positive,Positive,,,,
Đồ ăn sáng Buffet khá nhiều nha. Nhân viên thân thiện. Dọn phòng liên tục khá là siêng kaka. Mọi thứ đều Ok. Mình nghĩ sẽ quay lại đây lần nữa. Khách sạn ngay trung tâm. Đối diện là hai quán nướng BBQ nghe đồn cũng khá Ok và ngon. Nói chung Đáng để nghỉ.,Positive,,,,,,,,,,Positive,,,,,,,,,,,,,,,,,,Positive,Positive,,,Positive,
"Dịch vụ quá tệ Phòng hôi, không đầy đủ tiện nghi",Negative,,,,,,,,,,Negative,,,,Negative,,,,,,,,,,,,,,,,,,,
Khách sạn có bãi biển đẹp. Không gian khá yên tỉnh Tuy nhiên đèn hơi tối.,,,,,Positive,,,,,,,,Negative,,,,,,,,,,,Positive,,,,,,,,,,
"Phòng sạch sẽ, đẹp, lần này book được phòng có ban công nên rất ưng ý. Vào Sài Gòn du lịch rất nhiều, ở nhiều khách sạn nhưng đối với giá phòng như vậy thì quá quá tuyệt vời mọi người nhé. Lễ tân rất nhiệt tình, nhẹ nhàng Bác bảo vệ cũng nhiệt tình và hiền 😍",,,,,,,,,Positive,Positive,Positive,Positive,,,,,,,,,,,,,,,,,Positive,,,,,
"Nhân viên vui vẻ dễ thương, phục vụ nhiệt tình. Sẽ quay lại khách sạn nếu có dịp.",Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,Positive,,,,,
"Khách sạn sạch sẽ và gần chợ, phòng ở tiện ích. nhân viên rất là dễ thương, mình thuê xe ở đây toàn xe mới thuận tiện đi chơi ở những nơi xa. sẽ quay trở lại. cám ơn the grace hotel nhìu lắm ❤",Positive,,,Positive,,,,,,,,,,,Positive,,,,,,,,,Positive,,,Positive,,Positive,,,,,
"Dịch vụ tốt, vị trí khá xịn xò",Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Positive,,,,
"Khan tam hoi mui thuoc tay, buong tam khong co man che nen nuoc vang het ra san.",,,,,,,,,,,,,,,,,Negative,Negative,,,,,,,,,,,,,,,,
"Đây là lần thứ 2 tôi ở tại FLC Quy Nhơn, lần đầu là ở khu villa cách đây 2 năm, lần này là ở phòng suite. Nếu nói về vấn đề sạch đẹp thì khách sạn này rất ổn, phòng ốc thoải mái khá tiện nghi. Tuy nhiên vấn đề đi lại rất bất tiện, từ khách sạn vào trung tâm thành phố hoặc nơi khác chỉ có thể đi taxi, không thể thuê được xe máy nếu đi ít người. Hồ bơi sạch đẹp, nhưng bãi biển của khách sạn lại không được sạch cho lắm, không biết có phải vì phần đông du khách thiếu ý thức hay không. Tôi đi vào dịp cuối tuần, buổi tối có khu street food cũng khá ok. Nhưng buffet sáng theo tôi là tệ, vừa ít món lại không ngon, nhân viên phục vụ buffet sáng không chủ động phục vụ và giúp đỡ khách. Trong khách sạn có 1 cái mini-mart, nhưng có hôm mới 7h tối đã đóng cửa, cũng chỉ bán loe hoe vài loại snack, mì gói, sữa, dụng cụ vệ sinh cá nhân cần thiết, tệ hơn cả 1 cái tiệm tạp hóa bé xíu ở thôn quê. Khách sạn cũng không có nhiều loại hình giải trí, nhất là ban đêm. Các nhân viên khách sạn nói chung phục vụ ở mức tạm được, không nhiệt tình thân thiện như những khách sạn 5 sao khác mà tôi đã từng đến. Nếu đánh giá chung về nơi này thì chỉ ở mức khá.",Neutral,,Positive,Positive,,,,,,,,Positive,,,,,,,,,,Negative,,Neutral,Neutral,,,,Neutral,Negative,,Neutral,Negative,
"Ăn sáng hơi ít trái cây, buổi tối đèn trang trí sân vườn tắt hơi sớm, còn lại mọi thứ đều tốt, từ nhân viên đến vị trí, quang cảnh, chất lượng phòng ",Positive,,Positive,,,,,,,,,,Positive,,,,,,,,,,,,,,,,,,,,Negative,
Tuyệt vời trừ việc nước tắm không được nóng lắm,Positive,,,,,,,,,,,,,,,,,,,Negative,,,,,,,,,,,,,,
"Chú bảo vệ nhiệt tình giúp mình thuê xe. Có điều ông chủ nói với mình là đến khách sạn lúc 6h sáng thì không cho nhận phòng?? Mình đã đi nhiều khách sạn ở nhiều nơi vậy rồi. 6h mình tới, đồng ý mình bit là chưa có phòng nhưng khách sạn sẽ cho mình gửi đồ, thậm chí cho đi wc thay đồ, ngồi nghỉ ở sảnh chờ và cho mình thuê xe đi chơi. 12h quay lại nhận phòng sau. Chứ nói như ông chủ này, có khách mà không nhận thì... tiêu à... điểm trừ vậy thôi. Còn lại ok trong tầm giá...",,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,Negative,,,,,
"Khách sạn nhiệt tình, cảm ơn vì đã giúp cho gia đình tôi có trãi nghiệm tốt",,,,,Positive,,,,,,,,,,,,,,,,,,,,,,,,Positive,,,,,
Xe tôi đậu không được trông coi,,,,,,,,,,,,,,,,,,,,,,,,Negative,,,,,,,,,,
Thủ tục checkin 40p là quá lâu. Nhận phòng sàn và Tolet vẫn rất ướt. Phòng ồn do nhiều người chuyển đồ bên cạnh. Sáng 6h cúp điện 30p. Đi lần 2 ở khách sạn và thấy không ổn như lần đầu,Negative,,,,,,Negative,,,Negative,Negative,,,,,,,,,,,,,,,,,,Negative,,,,,
"Đến phan thiết ở đây là quá hợp lý, gần biển, gần trung tâm, phòng ốc rộng với sạch sẽ.",,,,,,,,,,Positive,Positive,,,,,,,,,,,,,,,,,,,Positive,,,,
"Mới đầu thấy mn đánh giá dịch vụ không tốt, mình đặt cũng hơi rén nhưng vì gấp nên cũng không nghĩ nhiều mà đặt luôn, nhưng dịch vụ xứng đáng 10 điểm từ anh bảo vệ đến ac lễ tân quá dễ thương, hỗ trợ khách rất nhiệt tình, phòng ốc lại quá đẹp luôn ấy ạ",Positive,,,,,,,,,Positive,,,,,,,,,,,,,,,,,,,Positive,,,,,
Cũng được. Trừ việc cái bể bơi bé xíu không như kỳ vọng,Positive,,,,,,,,,,,,,,,,,,,,,,,Negative,,,,,,,,,,
"Khách sạn rất sạch sẽ, gần biển đi mấy bước chân tới nơi ❣️Nhân viên rất nhiệt tình, đặc biệt gia đình mình khá ấn tượng với 1 anh tên Châu take care khách rất tận tâm từ lúc nhà mình đến tới lúc nhà mình về. Mọi người nên ghé qua nha❤️",Positive,,,Positive,,,,,,,,,,,,,,,,,,,,,,,,,Positive,Positive,,,,
"Khach san moi, chuyen nghiep. Lan sau se quay lai!",Positive,,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,Positive,,,,,
"Phòng mới, sạch, nhân viên nhiệt tình, dễ thương. gần chợ đêm. 8.5*",Positive,,,,,,,,,Positive,Positive,,,,,,,,,,,,,,,,,,Positive,Positive,,,,
"phong thoái mái rộng rãi, view đẹp, sẽ đi tiếp lầu sau",Positive,,,,,,,Positive,,Positive,,Positive,,,,,,,,,,,,,,,,,,,,,,
"Tuyệt vời lắm nhé, đầy đủ tiện nghi, nhà hàng và phòng ncl đều tuyệt, nhân viên tận tâm",Negative,,,,,,,,,,,,,,,,,,,,,Positive,,Positive,,,,,Positive,,,,,
"Phòng mới, sạch sẽ. Phòng nhiều ánh sáng. Tuy nhiên nhà vệ sinh không có vòi xịt (phòng bạn mình đi cùng thì có). Bị cúp nước 1 lúc lâu nên hơi bất tiện vào giờ cao điểm sáng (có lẽ máy bơm hư). Buffet sáng khá ổn. Dịch vụ cải thiện hơn nữa sẽ rất tuyệt với tầm giá",,Neutral,,,,,,,,Positive,Positive,,,,,,Negative,,,,,,,,,,,,,,,Positive,,
